early_variant,model_name,feature_block,n_seeds,external_accuracy_mean,external_accuracy_std,external_accuracy_min,external_accuracy_q25,external_accuracy_median,external_accuracy_q75,external_accuracy_max,external_f1_mean,external_auc_mean
earlyv0,Logistic Regression,early_only,30,0.7183098591549294,2.2584051416334807e-16,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.7183098591549296,0.722222222222222,0.7357142857142853
earlyv1,RBF SVM,all,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7603174603174601
earlyv0,RBF SVM,all,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7595238095238095
earlyv1,Logistic Regression,early_only,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.7123287671232877,0.7357142857142853
earlyv0,Linear SVM,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6440677966101694,0.7198412698412695
earlyv1,Linear SVM,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6440677966101694,0.7198412698412695
earlyv0,Logistic Regression,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7158730158730157
earlyv1,Logistic Regression,middle_late,30,0.704225352112676,0.0,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.704225352112676,0.6956521739130433,0.7158730158730157
earlyv0,RBF SVM,early_only,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7179487179487182,0.7619047619047621
earlyv1,RBF SVM,early_only,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7179487179487182,0.7603174603174601
earlyv1,Linear SVM,early_middle_scale,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7105263157894736,0.7396825396825399
earlyv0,Linear SVM,early_middle_scale,30,0.6901408450704227,2.2584051416334807e-16,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.6901408450704225,0.7105263157894736,0.7388888888888886
earlyv0,RBF SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7531746031746032
earlyv1,RBF SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7531746031746032
earlyv0,Logistic Regression,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7523809523809526
earlyv1,Logistic Regression,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7523809523809526
earlyv0,RBF SVM,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7507936507936506
earlyv1,RBF SVM,early_middle_scale,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7507936507936506
earlyv0,Logistic Regression,all_plus_interactions,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6666666666666669,0.7412698412698411
earlyv1,Logistic Regression,all_plus_interactions,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6666666666666669,0.7404761904761905
earlyv0,Linear SVM,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6101694915254235,0.7325396825396823
earlyv1,Linear SVM,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6101694915254235,0.7325396825396823
earlyv0,Logistic Regression,all,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7325396825396822
earlyv1,Logistic Regression,all,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6760563380281688,0.7325396825396822
earlyv1,Linear SVM,all_plus_interactions,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.5818181818181818,0.7206349206349209
earlyv0,Logistic Regression,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7158730158730157
earlyv1,Logistic Regression,middle_only,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6461538461538464,0.7158730158730157
earlyv1,Linear SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6229508196721311,0.7126984126984126
earlyv0,Linear SVM,early_middle,30,0.6760563380281688,2.2584051416334807e-16,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.676056338028169,0.6229508196721311,0.7111111111111111
earlyv0,Linear SVM,all,30,0.6619718309859156,1.1292025708167404e-16,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6571428571428574,0.7246031746031747
earlyv1,Linear SVM,all,30,0.6619718309859156,1.1292025708167404e-16,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6571428571428574,0.7246031746031747
earlyv0,Linear SVM,all_plus_interactions,30,0.6619718309859156,1.1292025708167404e-16,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.5555555555555556,0.7214285714285714
earlyv1,Logistic Regression,early_middle,30,0.6619718309859156,1.1292025708167404e-16,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6571428571428574,0.7198412698412695
earlyv0,Logistic Regression,early_middle,30,0.6619718309859156,1.1292025708167404e-16,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6619718309859155,0.6571428571428574,0.7182539682539683
earlyv0,Logistic Regression,middle_late_scale,30,0.6478873239436623,3.387607712450221e-16,0.647887323943662,0.647887323943662,0.647887323943662,0.647887323943662,0.647887323943662,0.6478873239436623,0.6801587301587302
earlyv1,Logistic Regression,middle_late_scale,30,0.6478873239436623,3.387607712450221e-16,0.647887323943662,0.647887323943662,0.647887323943662,0.647887323943662,0.647887323943662,0.6478873239436623,0.6801587301587302
earlyv1,RBF SVM,all_plus_interactions,30,0.6338028169014084,1.1292025708167404e-16,0.6338028169014085,0.6338028169014085,0.6338028169014085,0.6338028169014085,0.6338028169014085,0.6486486486486488,0.723809523809524
earlyv0,RBF SVM,all_plus_interactions,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6400000000000001,0.7285714285714283
earlyv0,RBF SVM,middle_late,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6400000000000001,0.7253968253968252
earlyv1,RBF SVM,middle_late,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6400000000000001,0.7253968253968252
earlyv1,Linear SVM,early_only,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.7032967032967036,0.7015873015873016
earlyv0,Logistic Regression,late_only,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6746987951807231,0.6095238095238096
earlyv1,Logistic Regression,late_only,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6746987951807231,0.6095238095238096
earlyv0,Linear SVM,late_only,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6301369863013698,0.603968253968254
earlyv1,Linear SVM,late_only,30,0.6197183098591549,0.0,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6197183098591549,0.6301369863013698,0.603968253968254
earlyv0,RBF SVM,middle_late_scale,30,0.6056338028169013,1.1292025708167404e-16,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.631578947368421,0.7174603174603177
earlyv1,RBF SVM,middle_late_scale,30,0.6056338028169013,1.1292025708167404e-16,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.631578947368421,0.7174603174603177
earlyv0,RBF SVM,middle_only,30,0.6056338028169013,1.1292025708167404e-16,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.611111111111111,0.7126984126984125
earlyv1,RBF SVM,middle_only,30,0.6056338028169013,1.1292025708167404e-16,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.6056338028169014,0.611111111111111,0.7126984126984125
earlyv0,RBF SVM,late_only,30,0.5915492957746479,0.0,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.6588235294117649,0.5904761904761905
earlyv1,RBF SVM,late_only,30,0.5915492957746479,0.0,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.6588235294117649,0.5904761904761905
earlyv0,Linear SVM,middle_late_scale,30,0.5774647887323944,0.0,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.3478260869565216,0.6642857142857144
earlyv1,Linear SVM,middle_late_scale,30,0.5774647887323944,0.0,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.5774647887323944,0.3478260869565216,0.6642857142857144
earlyv0,Linear SVM,early_only,30,0.5633802816901406,2.2584051416334807e-16,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.5633802816901409,0.6736842105263156,0.6976190476190473
