model_name,cv_accuracy,cv_balanced_accuracy,cv_f1,cv_roc_auc,cv_pr_auc,best_cv_score_grid,external_accuracy,external_balanced_accuracy,external_f1,external_roc_auc,external_pr_auc,accuracy_gap,balanced_accuracy_gap,roc_auc_gap
middle__lr__l1,0.8734939759036144,0.876400407391241,0.8711656441717791,0.9390368107085697,0.9541506557762515,0.8593582887700534,0.647887323943662,0.6496031746031746,0.6835443037974683,0.7809523809523811,0.7495572120526968,0.22560665195995244,0.2267972327880664,0.15808442975618864
middle__svc__linear,0.891566265060241,0.8913138367525097,0.896551724137931,0.9599883602502547,0.9684311375737842,0.8675579322638145,0.676056338028169,0.6785714285714286,0.7228915662650602,0.8,0.815450132067427,0.21550992703207195,0.21274240818108114,0.15998836025025465
middle_late__lr__elasticnet,0.8795180722891566,0.8809835588534847,0.8809523809523809,0.9519860323003055,0.963455352687465,0.8735591206179442,0.676056338028169,0.6777777777777778,0.7088607594936709,0.792063492063492,0.7850643063674881,0.20346173426098757,0.20320578107570686,0.15992254023681352
middle_late__lr__l1,0.8734939759036144,0.875818419903972,0.8727272727272727,0.9390368107085698,0.9541447243190618,0.855377302436126,0.676056338028169,0.6777777777777778,0.7088607594936709,0.7841269841269841,0.755646534223543,0.19743763787544544,0.1980406421261942,0.1549098265815857
middle_late_scale__lr__l1,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.9402007856831077,0.9560688742045073,0.8614973262032085,0.6901408450704225,0.692063492063492,0.725,0.7904761904761904,0.7525222389052336,0.18937722721873407,0.19008404176453064,0.14972459520691728
middle_late_scale__lr__elasticnet,0.8795180722891566,0.8804015713662157,0.8823529411764706,0.9537319947621126,0.9652074083272868,0.8836007130124778,0.6901408450704225,0.6916666666666667,0.717948717948718,0.8095238095238095,0.8103605914985633,0.18937722721873407,0.188734904699549,0.14420818523830303
early_late__lr__l1,0.7469879518072289,0.746398952422523,0.7586206896551724,0.802706241815801,0.7562995261617249,0.7469399881164587,0.5633802816901409,0.5630952380952381,0.5507246376811594,0.6595238095238095,0.5957707359772892,0.183607670117088,0.18330371432728487,0.14318243229199146
middle_late_scale__svc__sigmoid,0.891566265060241,0.8907318492652407,0.8977272727272727,0.9516950385566709,0.9570347451336896,0.8717171717171718,0.7183098591549296,0.7194444444444444,0.7368421052631579,0.8043650793650794,0.7536504867774347,0.17325640590531133,0.1712874048207963,0.14732995919159153
early_middle_scale__svc__linear,0.891566265060241,0.8913138367525097,0.896551724137931,0.9713371162520006,0.9763732469702348,0.8837195484254307,0.7183098591549296,0.7206349206349206,0.7560975609756098,0.8277777777777778,0.8325480880444138,0.17325640590531133,0.17067891611758912,0.14355933847422275
middle_late__svc__sigmoid,0.8614457831325302,0.8608322421067947,0.8685714285714285,0.9451476793248945,0.9562702378423986,0.8636363636363635,0.6901408450704225,0.6924603174603174,0.7317073170731707,0.7682539682539682,0.7486859055922165,0.17130493806210767,0.1683719246464772,0.17689371107092633
middle__svc__sigmoid,0.8734939759036144,0.872908482467627,0.88,0.9493670886075949,0.9587156552345535,0.8656565656565655,0.704225352112676,0.7067460317460317,0.7469879518072289,0.7674603174603174,0.7496523374595403,0.16926862379093843,0.1661624507215953,0.1819067711472775
middle__lr__elasticnet,0.8795180722891566,0.8804015713662157,0.8823529411764706,0.9320529608613415,0.9462673283704951,0.8754010695187164,0.7183098591549296,0.7202380952380952,0.75,0.7817460317460317,0.739326557514581,0.16120821313422695,0.16016347612812043,0.15030692911530974
middle_late__svc__linear,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.9608613414811581,0.9693965747994425,0.8815210932857991,0.7183098591549296,0.7206349206349206,0.7560975609756098,0.8031746031746032,0.816190563515163,0.16120821313422695,0.15860267575675702,0.15768673830655489
stage_activation_summary__svc__poly2,0.6385542168674698,0.6307289393278045,0.696969696969697,0.6203259129928705,0.6033621467252589,0.616577540106952,0.4788732394366197,0.48134920634920636,0.5542168674698795,0.5373015873015874,0.563609115395256,0.15968097743085014,0.14937973297859813,0.08302432569128315
sequential_interactions__lr__l1,0.7650602409638554,0.7671322566564819,0.7636363636363637,0.8473010330277899,0.8570368362960322,0.7572786690433749,0.6056338028169014,0.6039682539682539,0.5483870967741935,0.7023809523809524,0.6888428472528892,0.159426438146954,0.16316400268822795,0.14492008064683748
early_middle__svc__linear,0.891566265060241,0.8913138367525097,0.896551724137931,0.9707551287647317,0.976057743299021,0.8795603089720735,0.7323943661971831,0.7345238095238096,0.7654320987654321,0.8238095238095239,0.8303264383360243,0.15917189886305783,0.15679002722870017,0.1469456049552078
early_middle__lr__elasticnet,0.8855421686746988,0.8873126727775353,0.8862275449101796,0.9650807507638586,0.9714599893495005,0.8775995246583483,0.7323943661971831,0.7341269841269842,0.759493670886076,0.8158730158730159,0.8195479570235488,0.1531478024775157,0.15318568865055116,0.1492077348908427
early_middle_scale__lr__elasticnet,0.8855421686746988,0.8873126727775353,0.8862275449101796,0.9646442601484068,0.9710907303025351,0.8755793226381461,0.7323943661971831,0.7341269841269842,0.759493670886076,0.8166666666666667,0.8210955760711679,0.1531478024775157,0.15318568865055116,0.1479775934817401
stage_score_middle_late__lr__l2,0.8795180722891566,0.8809835588534847,0.8809523809523809,0.9538774916339298,0.9636895855608687,0.8674985145573381,0.7323943661971831,0.7337301587301588,0.7532467532467533,0.8007936507936507,0.7759302990063978,0.14712370609197345,0.14725340012332588,0.15308384084027904
all__svc__linear,0.8795180722891566,0.8786556089044086,0.8863636363636364,0.9698821475338281,0.9755879341695891,0.8795603089720735,0.7323943661971831,0.7345238095238096,0.7654320987654321,0.8222222222222223,0.8249825785294954,0.14712370609197345,0.14413179938059906,0.14765992531160577
all_plus_interactions__lr__elasticnet,0.891566265060241,0.8930597992143169,0.8928571428571429,0.9631892914302341,0.9703112563468306,0.8816399286987522,0.7464788732394366,0.7484126984126984,0.775,0.8277777777777777,0.8316062268800888,0.14508739182080432,0.14464710080161847,0.1354115136524564
stage_activation_summary__svc__rbf,0.6325301204819277,0.6255638003782918,0.6871794871794872,0.6024297977593481,0.5781164763892299,0.6106951871657755,0.49295774647887325,0.49523809523809526,0.5609756097560976,0.5456349206349206,0.5512314290148882,0.13957237400305444,0.1303257051401966,0.056794877124427545
sequential_interactions__lr__elasticnet,0.8012048192771084,0.8021970027644406,0.8047337278106509,0.8494834861050486,0.8123395473998954,0.7812240047534165,0.6619718309859155,0.6619047619047619,0.6571428571428571,0.7579365079365079,0.704359638555335,0.1392329882911929,0.14029224085967873,0.09154697816854074
all_plus_interactions__lr__l1,0.8855421686746988,0.8884766477520734,0.8834355828220859,0.9532955041466608,0.96343272835439,0.8674985145573382,0.7464788732394366,0.7484126984126984,0.775,0.8150793650793651,0.8037006434021459,0.1390632954352622,0.14006394933937494,0.13821613906729568
middle__svc__poly2,0.8975903614457831,0.8982249381638294,0.9005847953216374,0.9576604103011785,0.9653077330348728,0.8816993464052287,0.7605633802816901,0.7626984126984127,0.7901234567901234,0.8428571428571429,0.8538123562714098,0.13702698116409295,0.13552652546541677,0.11480326744403568
all__lr__elasticnet,0.8674698795180723,0.8683253310053833,0.8705882352941177,0.9644987632765896,0.9708568637372775,0.8775401069518716,0.7323943661971831,0.7337301587301588,0.7532467532467533,0.8150793650793651,0.8125699871177147,0.13507551332088918,0.13459517227522455,0.1494193981972245
middle__lr__l2,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.9569329259420922,0.9646561083543641,0.8594771241830064,0.7464788732394366,0.7476190476190476,0.7631578947368421,0.819047619047619,0.8271908408333332,0.13303919904971995,0.13452848620897506,0.1378853068944732
early_middle__lr__l1,0.8795180722891566,0.8827295213152917,0.8765432098765432,0.9452931761967118,0.9560899775458156,0.8594771241830065,0.7464788732394366,0.7484126984126984,0.775,0.8047619047619048,0.7929646643013093,0.13303919904971995,0.13431682290259328,0.14053127143480704
early_middle__svc__sigmoid,0.8795180722891566,0.8792375963916776,0.8850574712643678,0.9538774916339299,0.9587698682000596,0.8676767676767677,0.7464788732394366,0.748015873015873,0.7692307692307693,0.8325396825396825,0.8305675913286797,0.13303919904971995,0.13122172337580462,0.1213378090942474
middle_late_scale__svc__linear,0.8795180722891566,0.8780736214171395,0.8876404494382022,0.9589698821475339,0.9660509938660393,0.8775401069518716,0.7464788732394366,0.7488095238095238,0.7804878048780488,0.8222222222222222,0.8111552495986867,0.13303919904971995,0.1292640976076157,0.13674765992531168
stage_activation_summary__svc__poly3,0.6385542168674698,0.6313109268150735,0.6938775510204082,0.6265822784810127,0.5938933915893715,0.6187165775401071,0.5070422535211268,0.5095238095238095,0.5783132530120482,0.5523809523809524,0.5422797395781176,0.13151196334634307,0.12178711729126401,0.07420132610006025
early_middle_scale__lr__l1,0.8734939759036144,0.87698239487851,0.8695652173913043,0.9477666230176052,0.9580929572477492,0.8614973262032085,0.7464788732394366,0.7484126984126984,0.775,0.8047619047619048,0.791662397913551,0.12701510266417781,0.12856969646581162,0.14300471825570038
middle_late_scale__svc__poly2,0.8855421686746988,0.8849847228284592,0.8914285714285715,0.9512585479412192,0.9598760236995478,0.8675579322638145,0.7605633802816901,0.7623015873015873,0.7848101265822784,0.8317460317460317,0.8270418372093394,0.12497878839300869,0.12268313552687193,0.11951251619518755
middle_late__svc__poly2,0.8975903614457831,0.8976429506765604,0.9017341040462428,0.9582423977884476,0.965653138891868,0.8916815210932857,0.7746478873239436,0.7757936507936507,0.7894736842105263,0.8301587301587301,0.8374435207617005,0.12294247412183945,0.12184929988290971,0.12808366762971746
middle_late__svc__poly3,0.8975903614457831,0.8970609631892914,0.9028571428571428,0.9518405354284882,0.9595789641021315,0.867498514557338,0.7746478873239436,0.7761904761904761,0.7948717948717948,0.8404761904761905,0.8457772295833222,0.12294247412183945,0.12087048699881531,0.11136434495229774
sequential_interactions__svc__poly2,0.7409638554216867,0.7429797759348173,0.7393939393939394,0.8176196711770698,0.7980678378312303,0.6932263814616756,0.6197183098591549,0.6182539682539683,0.5714285714285714,0.6785714285714286,0.6281146382459131,0.12124554556253186,0.12472580768084907,0.1390482426056412
all__lr__l1,0.8674698795180723,0.8706532809544595,0.8641975308641975,0.9471846355303362,0.9581156476151503,0.861437908496732,0.7464788732394366,0.7484126984126984,0.775,0.8007936507936508,0.7885960706538169,0.12099100627863568,0.12224058254176107,0.14639098473668533
all_plus_interactions__svc__sigmoid,0.8674698795180723,0.8665793685435763,0.875,0.9467481449148843,0.9364744138588178,0.8616161616161615,0.7464788732394366,0.7476190476190476,0.7631578947368421,0.8261904761904761,0.822199292760102,0.12099100627863568,0.11896032092452868,0.1205576687244082
middle_late__lr__l2,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.957369416557544,0.9655045258105664,0.8635175282234104,0.7605633802816901,0.7615079365079365,0.7733333333333333,0.807142857142857,0.8162023938759184,0.11895469200746644,0.12063959732008622,0.150226559414687
middle_late_scale__lr__l2,0.8795180722891566,0.8809835588534847,0.8809523809523809,0.9525680197875745,0.9616809548863513,0.8756387403446227,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.8246031746031746,0.8117536587719413,0.11895469200746644,0.11907879694872281,0.1279648451844
all_plus_interactions__lr__l2,0.8795180722891566,0.8804015713662157,0.8823529411764706,0.9516950385566711,0.958831513644277,0.8695187165775401,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.846031746031746,0.8310749761904316,0.11895469200746644,0.1184968094614538,0.10566329252492512
all__svc__sigmoid,0.8795180722891566,0.8798195838789467,0.8837209302325582,0.9524225229157575,0.9570377474171811,0.8755793226381462,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.8238095238095238,0.8230381777659795,0.11895469200746644,0.11791482197418479,0.1286129991062337
middle_late_scale__svc__poly3,0.8795180722891566,0.8798195838789467,0.8837209302325582,0.9396187981958388,0.9505237030924107,0.863576945929887,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.8396825396825397,0.835559751382919,0.11895469200746644,0.11791482197418479,0.09993625851329913
early_middle_scale__svc__sigmoid,0.8734939759036144,0.874072457442165,0.8771929824561403,0.9515495416848538,0.954165640657215,0.8695781342840168,0.7605633802816901,0.7619047619047619,0.7792207792207793,0.8277777777777778,0.8230334919554151,0.11293059562192431,0.11216769553740313,0.123771763907076
early_middle__svc__poly2,0.8734939759036144,0.872908482467627,0.88,0.966972210097483,0.9719941290862208,0.8896019013666071,0.7605633802816901,0.7626984126984127,0.7901234567901234,0.8452380952380952,0.8418143899472214,0.11293059562192431,0.11021006976921432,0.12173411485938779
early_middle_scale__svc__poly2,0.8855421686746988,0.8861486978029973,0.8888888888888888,0.9652262476356759,0.9706910583805572,0.8856209150326797,0.7746478873239436,0.7765873015873015,0.8,0.8373015873015873,0.8246009485452379,0.11089428135075519,0.10956139621569583,0.12792466033408856
stage_activation_summary__lr__elasticnet,0.6024096385542169,0.6003200931179979,0.6292134831460674,0.6382220282263931,0.6145548049916121,0.596613190730838,0.49295774647887325,0.49404761904761907,0.5263157894736842,0.5349206349206349,0.5043350550055699,0.10945189207534367,0.10627247407037888,0.10330139330575816
all__lr__l2,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.9642077695329551,0.970573304180373,0.8776589423648247,0.7746478873239436,0.7761904761904761,0.7948717948717948,0.8253968253968255,0.8204040367700349,0.10487018496521294,0.10595705763754659,0.1388109441361296
early_middle_scale__lr__l2,0.8795180722891566,0.8821475338280227,0.8780487804878049,0.9650807507638586,0.9710963168138173,0.8736185383244206,0.7746478873239436,0.7761904761904761,0.7948717948717948,0.8333333333333334,0.8336070784420683,0.10487018496521294,0.10595705763754659,0.1317474174305252
mlp_svc_late_calibrated__lr__l2,0.8795180722891566,0.8798195838789467,0.8837209302325582,0.9624618070711479,0.9672986407001488,0.8795603089720736,0.7746478873239436,0.7761904761904761,0.7948717948717948,0.8269841269841269,0.7930169017232984,0.10487018496521294,0.10362910768847056,0.135477680087021
